Frontier,SolutionIndex,BNY,ECT,FV
Restoration,0,50540.2394999999,259677.093999999,764441.441591098
Restoration,1,50604.4654999999,278147.729000002,459274.620023422
Restoration,2,49215.5134999999,277840.297999999,699377.089633182
Restoration,3,50070.6999999999,297288.241999999,625796.696226145
Restoration,4,50339.4869999999,317925.718,378762.326032491
Restoration,5,50378.5184999999,245705.148999999,982214.08925053
Restoration,6,49988.3009999999,277738.716,906736.055018442
Restoration,7,49685.9429999999,315961.111,610954.813215715
Restoration,8,49823.0789999999,295882.47,846521.420988317
Restoration,9,45048.3935,270306.84,1113757.0719248
Restoration,10,50134.8495,336014.097999999,325197.678665324
Restoration,11,45297.8109999999,289317.164,1117251.72404642
Restoration,12,49921.5194999999,335133.183,586715.183943642
Restoration,13,49361.9309999999,315813.629,830800.033137903
Restoration,14,48881.0099999999,334637.596999999,821329.525004913
Restoration,15,47730.6099999999,307481.342999999,1053798.63335777
Restoration,16,47046.744,251453.071,1340902.31202537
Restoration,17,45730.1725,272361.188,1341193.49070555
Restoration,18,42871.5444999999,308135.103,1265837.03144225
Restoration,19,44022.0785,326146.935,1046613.11985759
Restoration,20,43588.2314999999,254373.352,1554625.96887204
Restoration,21,45081.145,272494.357999999,1548130.63035832
Restoration,22,44792.8709999999,290523.753999999,1472859.41894282
Restoration,23,43796.2384999999,326535.324,1254996.42366996
Restoration,24,42538.0979999999,309731.616999999,1487238.74856574
Restoration,25,49343.922,354364.059,294826.81207948
Restoration,26,48454.2925,354883.196,516351.185415017
Restoration,27,48598.3905,353146.426,726120.824658199
Restoration,28,46161.954,344791.125,1030577.99796938
Restoration,29,44175.3324999999,231122.577,1768431.03251938
Restoration,30,42895.4304999999,250624.307,1761737.18559262
Restoration,31,44764.398,344558.552,1237513.0439833
Restoration,32,43004.7879999999,328009.495,1462041.04107952
Restoration,33,41646.8735,272622.889,1759830.64197326
Restoration,34,42207.8354999999,290665.156,1694902.70208544
Restoration,35,39344.4079999999,308939.332999999,1697722.24641554
Restoration,36,37378.311,327164.537,1695240.96440415
Restoration,37,39059.7834999999,251229.395,1974477.23920242
Restoration,38,38077.552,291556.484,1908424.80719774
Restoration,39,40975.6045,346108.261,1444549.87354092
Restoration,40,38937.2375,346049.744,1652749.82314308
Restoration,41,37541.602,309583.387,1904649.68277224
Restoration,42,36182.7505,327589.86,1902185.76540287
Restoration,43,35312.327,269701.241,2117800.38826345
Restoration,44,34485.678,287711.744,2115364.18544927
Restoration,45,31520.7335,236874.525,2325229.09170168
